# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             275   N   00001018   80030313   0000101c   x06_t1     00001000
             276   N   0000101c   30032073   00001020   x06_t1     00000800
             277   N   00001020   300023f3   00001024   ---        --------
             278   N   00001024   300023f3   00001024   ---        --------
             279   N   00001024   0053f3b3   00001028   x07_t2     00001880
             280   N   00001028   0e731063   0000102c   x07_t2     00001800
             281   N   0000102c   34415073   0000110c   ---        --------
             284   N   0000110c   000e0593   00001110   ---        --------
             285   N   00001110   00000513   00001114   x11_a1     00000002
             286   N   00001114   00000073   00001118   x10_a0     00000000
             287   E   00001118   00000013   00000b00   mstatus    00001800
             287   E   00001118   00000013   00000b00   mepc       00001118
             287   E   00001118   00000013   00000b00   mcause     0000000b
             287   E   00001118   00000013   00000b00   mtval      00000000
             290   N   00000b00   000047a1   00000b04   x14_a4     0000000b
             291   N   00000b04   02f70963   00000b06   x15_a5     00000008
             292   N   00000b06   000047a5   00000b0a   ---        --------
             293   N   00000b0a   02f70663   00000b0c   x15_a5     00000009
             294   N   00000b0c   000047ad   00000b10   ---        --------
             295   N   00000b10   02f70363   00000b12   x15_a5     0000000b
             296   N   00000b12   00004789   00000b38   ---        --------
             299   N   00000b38   00000013   00001400   ---        --------
             302   N   00001400   cf428293   00001404   x05_t0     00000400
             303   N   00001404   00008282   00001408   x05_t0     000000f4
             304   N   00001408   00000013   000000f4   ---        --------
             307   N   000000f4   0000006f   000000f8   ---        --------
             308   N   000000f8   ffffffff   000000f8   ---        --------
